chunk_id,source,category,text,question,answer,keywords,wilaya,job_title
CHK_00011,faq,registration,Question: Combien de temps prend l'inscription à l'ANEM à Tipaza ? Answer: L'inscription à l'ANEM de Tipaza prend entre 30 minutes et 2 heures.,Combien de temps prend l'inscription à l'ANEM à Tipaza ?,L'inscription à l'ANEM de Tipaza prend entre 30 minutes et 2 heures.,"['Tipaza', 'event planner', 'interaction design principles user behavior and psychology wireframing and prototyping tools animation and micro-interaction design collaborative design processes', 'registration']",Tipaza,event planner
CHK_00012,faq,registration,"Question: Comment s'inscrire à l'ANEM à Constantine ? Answer: Pour s'inscrire à l'ANEM à Constantine, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (DUT), CV, et photo. L'inscription est gratuite.",Comment s'inscrire à l'ANEM à Constantine ?,"Pour s'inscrire à l'ANEM à Constantine, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (DUT), CV, et photo. L'inscription est gratuite.","['Constantine', 'business development manager', 'account management client relationship sales strategy business development negotiation skills', 'registration']",Constantine,business development manager
CHK_00013,faq,registration,"Question: L'ANEM de Laghouat est-elle ouverte le vendredi ? Answer: Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.",L'ANEM de Laghouat est-elle ouverte le vendredi ?,"Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.","['Laghouat', 'human resources manager', 'procurement strategies supplier management negotiation cost analysis supply chain management', 'registration']",Laghouat,human resources manager
CHK_00014,faq,registration,Question: Combien de temps prend l'inscription à l'ANEM à Ghardaïa ? Answer: L'inscription à l'ANEM de Ghardaïa prend entre 30 minutes et 2 heures.,Combien de temps prend l'inscription à l'ANEM à Ghardaïa ?,L'inscription à l'ANEM de Ghardaïa prend entre 30 minutes et 2 heures.,"['Ghardaïa', 'customer service representative', 'counseling techniques psychotherapy mental health assessment treatment planning crisis intervention ethical standards empathy and active listening cultural competence documentation communication skills self-care licensing and certification', 'registration']",Ghardaïa,customer service representative
CHK_00015,faq,registration,"Question: Comment s'inscrire à l'ANEM à El Oued ? Answer: Pour s'inscrire à l'ANEM à El Oued, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (ingéniorat), CV, et photo. L'inscription est gratuite.",Comment s'inscrire à l'ANEM à El Oued ?,"Pour s'inscrire à l'ANEM à El Oued, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (ingéniorat), CV, et photo. L'inscription est gratuite.","['El Oued', 'environmental consultant', 'instructional design elearning tools curriculum development multimedia design learning theory knowledge', 'registration']",El Oued,environmental consultant
CHK_00016,faq,registration,"Question: Quels documents fournir si j'ai un ingéniorat pour m'inscrire à l'ANEM ? Answer: Avec un ingéniorat, vous devez fournir: attestation de réussite originale, copie CIN, justificatif de domicile, CV, et photo d'identité.",Quels documents fournir si j'ai un ingéniorat pour m'inscrire à l'ANEM ?,"Avec un ingéniorat, vous devez fournir: attestation de réussite originale, copie CIN, justificatif de domicile, CV, et photo d'identité.","['Skikda', 'customer service representative', 'account management sales strategy negotiation and closing skills', 'registration']",Skikda,customer service representative
CHK_00017,faq,registration,"Question: L'ANEM de Ghardaïa est-elle ouverte le vendredi ? Answer: Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.",L'ANEM de Ghardaïa est-elle ouverte le vendredi ?,"Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.","['Ghardaïa', 'inventory analyst', 'human resources recruitment employee onboarding hris (hr information systems) record keeping communication skills', 'registration']",Ghardaïa,inventory analyst
CHK_00018,faq,registration,Question: Combien de temps prend l'inscription à l'ANEM à Chlef ? Answer: L'inscription à l'ANEM de Chlef prend entre 30 minutes et 2 heures.,Combien de temps prend l'inscription à l'ANEM à Chlef ?,L'inscription à l'ANEM de Chlef prend entre 30 minutes et 2 heures.,"['Chlef', 'veterinarian', 'talent sourcing interviewing onboarding recruitment strategies hr software', 'registration']",Chlef,veterinarian
CHK_00019,faq,registration,"Question: Comment s'inscrire à l'ANEM à Algiers ? Answer: Pour s'inscrire à l'ANEM à Algiers, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (licence), CV, et photo. L'inscription est gratuite.",Comment s'inscrire à l'ANEM à Algiers ?,"Pour s'inscrire à l'ANEM à Algiers, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (licence), CV, et photo. L'inscription est gratuite.","['Algiers', 'art teacher', 'event planning vendor coordination budget management marketing and promotion logistics', 'registration']",Algiers,art teacher
CHK_00020,faq,registration,Question: Combien de temps prend l'inscription à l'ANEM à Constantine ? Answer: L'inscription à l'ANEM de Constantine prend entre 30 minutes et 2 heures.,Combien de temps prend l'inscription à l'ANEM à Constantine ?,L'inscription à l'ANEM de Constantine prend entre 30 minutes et 2 heures.,"['Constantine', 'family lawyer', 'agile methodologies scrum or kanban team collaboration agile tools (e.g., jira)', 'registration']",Constantine,family lawyer
CHK_00021,faq,registration,"Question: Comment s'inscrire à l'ANEM à Laghouat ? Answer: Pour s'inscrire à l'ANEM à Laghouat, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (licence), CV, et photo. L'inscription est gratuite.",Comment s'inscrire à l'ANEM à Laghouat ?,"Pour s'inscrire à l'ANEM à Laghouat, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (licence), CV, et photo. L'inscription est gratuite.","['Laghouat', 'accountant', 'nursing care patient assessment medical knowledge', 'registration']",Laghouat,accountant
CHK_00022,faq,registration,"Question: Puis-je m'inscrire à l'ANEM si je suis primo-demandeur ? Answer: Oui, les personnes avec le statut 'primo-demandeur' peuvent s'inscrire à l'ANEM. Apportez un justificatif de votre situation actuelle.",Puis-je m'inscrire à l'ANEM si je suis primo-demandeur ?,"Oui, les personnes avec le statut 'primo-demandeur' peuvent s'inscrire à l'ANEM. Apportez un justificatif de votre situation actuelle.","['Batna', 'social media manager', 'event planning conference logistics budget management vendor coordination marketing and promotion client relations', 'registration']",Batna,social media manager
CHK_00023,faq,registration,"Question: L'ANEM de Algiers est-elle ouverte le vendredi ? Answer: Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.",L'ANEM de Algiers est-elle ouverte le vendredi ?,"Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.","['Algiers', 'qa analyst', 'soc operations security incident response threat detection log analysis security tools (e.g., ids/ips) security alerts triage', 'registration']",Algiers,qa analyst
CHK_00024,faq,registration,Question: Combien de temps prend l'inscription à l'ANEM à Tindouf ? Answer: L'inscription à l'ANEM de Tindouf prend entre 30 minutes et 2 heures.,Combien de temps prend l'inscription à l'ANEM à Tindouf ?,L'inscription à l'ANEM de Tindouf prend entre 30 minutes et 2 heures.,"['Tindouf', 'social media coordinator', 'clinical psychology counseling skills assessment tools diagnostic skills empathy and listening skills', 'registration']",Tindouf,social media coordinator
CHK_00025,faq,registration,"Question: Comment s'inscrire à l'ANEM à Blida ? Answer: Pour s'inscrire à l'ANEM à Blida, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (master), CV, et photo. L'inscription est gratuite.",Comment s'inscrire à l'ANEM à Blida ?,"Pour s'inscrire à l'ANEM à Blida, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (master), CV, et photo. L'inscription est gratuite.","['Blida', 'customer service manager', 'risk assessment data analysis financial modeling risk management tools regulatory compliance knowledge', 'registration']",Blida,customer service manager
CHK_00026,faq,registration,"Question: Quels documents fournir si j'ai un BTS pour m'inscrire à l'ANEM ? Answer: Avec un BTS, vous devez fournir: attestation de réussite originale, copie CIN, justificatif de domicile, CV, et photo d'identité.",Quels documents fournir si j'ai un BTS pour m'inscrire à l'ANEM ?,"Avec un BTS, vous devez fournir: attestation de réussite originale, copie CIN, justificatif de domicile, CV, et photo d'identité.","['Tizi Ouzou', 'customer service manager', 'ui design principles and best practices graphic design tools (e.g., adobe photoshop, illustrator) typography and color theory visual design and layout responsive design', 'registration']",Tizi Ouzou,customer service manager
CHK_00027,faq,registration,"Question: L'ANEM de Tindouf est-elle ouverte le vendredi ? Answer: Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.",L'ANEM de Tindouf est-elle ouverte le vendredi ?,"Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.","['Tindouf', 'accountant', 'family counseling marriage and family therapy conflict resolution skills', 'registration']",Tindouf,accountant
CHK_00028,faq,registration,"Question: Comment s'inscrire à l'ANEM à Tindouf ? Answer: Pour s'inscrire à l'ANEM à Tindouf, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (licence), CV, et photo. L'inscription est gratuite.",Comment s'inscrire à l'ANEM à Tindouf ?,"Pour s'inscrire à l'ANEM à Tindouf, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (licence), CV, et photo. L'inscription est gratuite.","['Tindouf', 'web developer', 'document management recordkeeping attention to detail data entry organizational skills', 'registration']",Tindouf,web developer
CHK_00029,faq,registration,"Question: Puis-je m'inscrire à l'ANEM si je suis démissionnaire ? Answer: Oui, les personnes avec le statut 'démissionnaire' peuvent s'inscrire à l'ANEM. Apportez un justificatif de votre situation actuelle.",Puis-je m'inscrire à l'ANEM si je suis démissionnaire ?,"Oui, les personnes avec le statut 'démissionnaire' peuvent s'inscrire à l'ANEM. Apportez un justificatif de votre situation actuelle.","['Tlemcen', 'technical writer', 'human resources recruitment employee onboarding hris (hr information systems) record keeping communication skills', 'registration']",Tlemcen,technical writer
CHK_00030,faq,job_search,"Question: Comment trouver un emploi de database administrator à Constantine via l'ANEM ? Answer: Pour trouver un poste de database administrator à Constantine: 1) Inscrivez-vous à l'ANEM, 2) Précisez votre spécialité, 3) Consultez anem.dz.",Comment trouver un emploi de database administrator à Constantine via l'ANEM ?,"Pour trouver un poste de database administrator à Constantine: 1) Inscrivez-vous à l'ANEM, 2) Précisez votre spécialité, 3) Consultez anem.dz.","['Constantine', 'database administrator', 'big data technologies (hadoop, spark, etc.) data processing and analysis distributed computing', 'job_search']",Constantine,database administrator
CHK_00031,faq,job_search,Question: Y a-t-il des offres pour ux/ui designer en contrat stage à Algiers ? Answer: L'ANEM de Algiers reçoit régulièrement des offres pour ux/ui designer en stage. Offres mises à jour hebdomadairement sur anem.dz.,Y a-t-il des offres pour ux/ui designer en contrat stage à Algiers ?,L'ANEM de Algiers reçoit régulièrement des offres pour ux/ui designer en stage. Offres mises à jour hebdomadairement sur anem.dz.,"['Algiers', 'ux/ui designer', 'ui design principles and best practices graphic design tools (e.g., adobe photoshop, illustrator) typography and color theory visual design and layout responsive design', 'job_search']",Algiers,ux/ui designer
CHK_00032,faq,job_search,Question: Mon profil litigation attorney avec 15+ years est-il demandé à Laghouat ? Answer: Les profils litigation attorney avec 15+ years sont recherchés dans plusieurs wilayas dont Laghouat.,Mon profil litigation attorney avec 15+ years est-il demandé à Laghouat ?,Les profils litigation attorney avec 15+ years sont recherchés dans plusieurs wilayas dont Laghouat.,"['Laghouat', 'litigation attorney', 'construction management budgeting contract negotiation safety regulations', 'job_search']",Laghouat,litigation attorney
CHK_00033,faq,job_search,"Question: Puis-je chercher un emploi dans une autre wilaya via l'ANEM de Sétif ? Answer: Oui, l'ANEM de Sétif a accès à la base d'offres nationale. Des aides au déplacement peuvent être disponibles.",Puis-je chercher un emploi dans une autre wilaya via l'ANEM de Sétif ?,"Oui, l'ANEM de Sétif a accès à la base d'offres nationale. Des aides au déplacement peuvent être disponibles.","['Sétif', 'project manager', 'sql (structured query language) database design query optimization data modeling database maintenance problem-solving skills', 'job_search']",Sétif,project manager
CHK_00034,faq,job_search,Question: Comment fonctionne le matching de profil pour un poste de procurement manager ? Answer: L'ANEM utilise votre profil pour proposer des offres de procurement manager. Mettez à jour vos compétences en lighting design architectural lighting lighting software proficiency creative lighting concepts technical knowledge pour augmenter vos chances.,Comment fonctionne le matching de profil pour un poste de procurement manager ?,L'ANEM utilise votre profil pour proposer des offres de procurement manager. Mettez à jour vos compétences en lighting design architectural lighting lighting software proficiency creative lighting concepts technical knowledge pour augmenter vos chances.,"['Batna', 'procurement manager', 'lighting design architectural lighting lighting software proficiency creative lighting concepts technical knowledge', 'job_search']",Batna,procurement manager
CHK_00035,faq,job_search,"Question: Comment trouver un emploi de structural engineer à Constantine via l'ANEM ? Answer: Pour trouver un poste de structural engineer à Constantine: 1) Inscrivez-vous à l'ANEM, 2) Précisez votre spécialité, 3) Consultez anem.dz.",Comment trouver un emploi de structural engineer à Constantine via l'ANEM ?,"Pour trouver un poste de structural engineer à Constantine: 1) Inscrivez-vous à l'ANEM, 2) Précisez votre spécialité, 3) Consultez anem.dz.","['Constantine', 'structural engineer', 'account management client relationship sales strategy business development negotiation skills', 'job_search']",Constantine,structural engineer
CHK_00036,faq,job_search,Question: Y a-t-il des offres pour structural engineer en contrat stage à Béjaïa ? Answer: L'ANEM de Béjaïa reçoit régulièrement des offres pour structural engineer en stage. Offres mises à jour hebdomadairement sur anem.dz.,Y a-t-il des offres pour structural engineer en contrat stage à Béjaïa ?,L'ANEM de Béjaïa reçoit régulièrement des offres pour structural engineer en stage. Offres mises à jour hebdomadairement sur anem.dz.,"['Béjaïa', 'structural engineer', 'nosql databases (e.g., mongodb, cassandra) data modeling data migration performance tuning scalability distributed systems', 'job_search']",Béjaïa,structural engineer
CHK_00037,faq,job_search,Question: Mon profil web developer avec 15+ years est-il demandé à Batna ? Answer: Les profils web developer avec 15+ years sont recherchés dans plusieurs wilayas dont Batna.,Mon profil web developer avec 15+ years est-il demandé à Batna ?,Les profils web developer avec 15+ years sont recherchés dans plusieurs wilayas dont Batna.,"['Batna', 'web developer', 'wedding planning vendor coordination event management', 'job_search']",Batna,web developer
CHK_00038,faq,job_search,"Question: Puis-je chercher un emploi dans une autre wilaya via l'ANEM de Tindouf ? Answer: Oui, l'ANEM de Tindouf a accès à la base d'offres nationale. Des aides au déplacement peuvent être disponibles.",Puis-je chercher un emploi dans une autre wilaya via l'ANEM de Tindouf ?,"Oui, l'ANEM de Tindouf a accès à la base d'offres nationale. Des aides au déplacement peuvent être disponibles.","['Tindouf', 'ui developer', 'interaction design principles user behavior and psychology wireframing and prototyping tools animation and micro-interaction design collaborative design processes', 'job_search']",Tindouf,ui developer
CHK_00039,faq,job_search,Question: Comment fonctionne le matching de profil pour un poste de investment banker ? Answer: L'ANEM utilise votre profil pour proposer des offres de investment banker. Mettez à jour vos compétences en corporate law and regulations contract drafting and negotiation legal research and analysis risk management excellent communication and negotiation skills pour augmenter vos chances.,Comment fonctionne le matching de profil pour un poste de investment banker ?,L'ANEM utilise votre profil pour proposer des offres de investment banker. Mettez à jour vos compétences en corporate law and regulations contract drafting and negotiation legal research and analysis risk management excellent communication and negotiation skills pour augmenter vos chances.,"['Sétif', 'investment banker', 'corporate law and regulations contract drafting and negotiation legal research and analysis risk management excellent communication and negotiation skills', 'job_search']",Sétif,investment banker
CHK_00040,faq,job_search,"Question: Comment trouver un emploi de web developer à Laghouat via l'ANEM ? Answer: Pour trouver un poste de web developer à Laghouat: 1) Inscrivez-vous à l'ANEM, 2) Précisez votre spécialité, 3) Consultez anem.dz.",Comment trouver un emploi de web developer à Laghouat via l'ANEM ?,"Pour trouver un poste de web developer à Laghouat: 1) Inscrivez-vous à l'ANEM, 2) Précisez votre spécialité, 3) Consultez anem.dz.","['Laghouat', 'web developer', 'content creation (e.g., writing, editing, graphic design, video production) content marketing social media management seo optimization creative storytelling audience engagement analytics and reporting adaptability communication skills creativity', 'job_search']",Laghouat,web developer
CHK_00041,faq,job_search,Question: Y a-t-il des offres pour brand manager en contrat CPE à Annaba ? Answer: L'ANEM de Annaba reçoit régulièrement des offres pour brand manager en CPE. Offres mises à jour hebdomadairement sur anem.dz.,Y a-t-il des offres pour brand manager en contrat CPE à Annaba ?,L'ANEM de Annaba reçoit régulièrement des offres pour brand manager en CPE. Offres mises à jour hebdomadairement sur anem.dz.,"['Annaba', 'brand manager', 'data analysis and visualization tools (e.g., tableau, power bi) sql and database querying business intelligence concepts data modeling and reporting strong analytical and problem-solving skills data-driven decision-making', 'job_search']",Annaba,brand manager
CHK_00042,faq,job_search,Question: Mon profil front-end engineer avec 4-6 years est-il demandé à Relizane ? Answer: Les profils front-end engineer avec 4-6 years sont recherchés dans plusieurs wilayas dont Relizane.,Mon profil front-end engineer avec 4-6 years est-il demandé à Relizane ?,Les profils front-end engineer avec 4-6 years sont recherchés dans plusieurs wilayas dont Relizane.,"['Relizane', 'front-end engineer', 'instructional design elearning tools curriculum development multimedia design learning theory knowledge', 'job_search']",Relizane,front-end engineer
CHK_00043,faq,job_search,"Question: Puis-je chercher un emploi dans une autre wilaya via l'ANEM de Annaba ? Answer: Oui, l'ANEM de Annaba a accès à la base d'offres nationale. Des aides au déplacement peuvent être disponibles.",Puis-je chercher un emploi dans une autre wilaya via l'ANEM de Annaba ?,"Oui, l'ANEM de Annaba a accès à la base d'offres nationale. Des aides au déplacement peuvent être disponibles.","['Annaba', 'inventory analyst', 'it systems analysis troubleshooting it support and documentation', 'job_search']",Annaba,inventory analyst
CHK_00044,faq,job_search,Question: Comment fonctionne le matching de profil pour un poste de account executive ? Answer: L'ANEM utilise votre profil pour proposer des offres de account executive. Mettez à jour vos compétences en it systems analysis troubleshooting it support and documentation pour augmenter vos chances.,Comment fonctionne le matching de profil pour un poste de account executive ?,L'ANEM utilise votre profil pour proposer des offres de account executive. Mettez à jour vos compétences en it systems analysis troubleshooting it support and documentation pour augmenter vos chances.,"['Tizi Ouzou', 'account executive', 'it systems analysis troubleshooting it support and documentation', 'job_search']",Tizi Ouzou,account executive
CHK_00045,faq,job_search,"Question: Comment trouver un emploi de nurse practitioner à Annaba via l'ANEM ? Answer: Pour trouver un poste de nurse practitioner à Annaba: 1) Inscrivez-vous à l'ANEM, 2) Précisez votre spécialité, 3) Consultez anem.dz.",Comment trouver un emploi de nurse practitioner à Annaba via l'ANEM ?,"Pour trouver un poste de nurse practitioner à Annaba: 1) Inscrivez-vous à l'ANEM, 2) Précisez votre spécialité, 3) Consultez anem.dz.","['Annaba', 'nurse practitioner', 'acute care nursing emergency medicine critical care diagnostic tests treatment planning', 'job_search']",Annaba,nurse practitioner
CHK_00046,faq,job_search,Question: Y a-t-il des offres pour brand manager en contrat CDD à Oran ? Answer: L'ANEM de Oran reçoit régulièrement des offres pour brand manager en CDD. Offres mises à jour hebdomadairement sur anem.dz.,Y a-t-il des offres pour brand manager en contrat CDD à Oran ?,L'ANEM de Oran reçoit régulièrement des offres pour brand manager en CDD. Offres mises à jour hebdomadairement sur anem.dz.,"['Oran', 'brand manager', 'sales strategy development territory management sales team leadership', 'job_search']",Oran,brand manager
CHK_00047,faq,job_search,Question: Mon profil content writer avec 1-2 years est-il demandé à Adrar ? Answer: Les profils content writer avec 1-2 years sont recherchés dans plusieurs wilayas dont Adrar.,Mon profil content writer avec 1-2 years est-il demandé à Adrar ?,Les profils content writer avec 1-2 years sont recherchés dans plusieurs wilayas dont Adrar.,"['Adrar', 'content writer', 'technical troubleshooting hardware and software support customer service problem-solving communication', 'job_search']",Adrar,content writer
CHK_00048,faq,job_search,"Question: Puis-je chercher un emploi dans une autre wilaya via l'ANEM de Chlef ? Answer: Oui, l'ANEM de Chlef a accès à la base d'offres nationale. Des aides au déplacement peuvent être disponibles.",Puis-je chercher un emploi dans une autre wilaya via l'ANEM de Chlef ?,"Oui, l'ANEM de Chlef a accès à la base d'offres nationale. Des aides au déplacement peuvent être disponibles.","['Chlef', 'software tester', 'sales strategy and planning account management customer relationship management solution selling sales forecasting contract negotiation sales metrics and reporting', 'job_search']",Chlef,software tester
CHK_00049,faq,job_search,Question: Comment fonctionne le matching de profil pour un poste de key account manager ? Answer: L'ANEM utilise votre profil pour proposer des offres de key account manager. Mettez à jour vos compétences en event planning vendor coordination budget management marketing and promotion logistics pour augmenter vos chances.,Comment fonctionne le matching de profil pour un poste de key account manager ?,L'ANEM utilise votre profil pour proposer des offres de key account manager. Mettez à jour vos compétences en event planning vendor coordination budget management marketing and promotion logistics pour augmenter vos chances.,"['Skikda', 'key account manager', 'event planning vendor coordination budget management marketing and promotion logistics', 'job_search']",Skikda,key account manager
CHK_00050,faq,job_search,"Question: Comment trouver un emploi de software engineer à Ghardaïa via l'ANEM ? Answer: Pour trouver un poste de software engineer à Ghardaïa: 1) Inscrivez-vous à l'ANEM, 2) Précisez votre spécialité, 3) Consultez anem.dz.",Comment trouver un emploi de software engineer à Ghardaïa via l'ANEM ?,"Pour trouver un poste de software engineer à Ghardaïa: 1) Inscrivez-vous à l'ANEM, 2) Précisez votre spécialité, 3) Consultez anem.dz.","['Ghardaïa', 'software engineer', 'financial analysis data analysis financial modeling', 'job_search']",Ghardaïa,software engineer
CHK_00051,faq,job_search,Question: Y a-t-il des offres pour tax consultant en contrat CDI à Sétif ? Answer: L'ANEM de Sétif reçoit régulièrement des offres pour tax consultant en CDI. Offres mises à jour hebdomadairement sur anem.dz.,Y a-t-il des offres pour tax consultant en contrat CDI à Sétif ?,L'ANEM de Sétif reçoit régulièrement des offres pour tax consultant en CDI. Offres mises à jour hebdomadairement sur anem.dz.,"['Sétif', 'tax consultant', 'event planning conference logistics budget management vendor coordination marketing and promotion client relations', 'job_search']",Sétif,tax consultant
